source,header_txt,mode,mapping,filename,size_bytes,header_bytes
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file01.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file01.header.txt,equalized_fft_bins_1_to_511,main,files/file01.txt,8761,22
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file02.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file02.header.txt,equalized_fft_bins_1_to_511,main,files/file02.tiff,67202,24
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file03.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file03.header.txt,equalized_fft_bins_1_to_511,main,files/file03.tiff,111212,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file04.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file04.header.txt,equalized_fft_bins_1_to_511,main,files/file04.wav,127964,24
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file05.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file05.header.txt,equalized_fft_bins_1_to_511,main,files/file05.tiff,138422,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file06.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file06.header.txt,equalized_fft_bins_1_to_511,main,files/file06.tiff,164392,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file07.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file07.header.txt,equalized_fft_bins_1_to_511,main,files/file07.tiff,189022,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file08.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file08.header.txt,equalized_fft_bins_1_to_511,main,files/file08.tiff,201022,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file09.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file09.header.txt,equalized_fft_bins_1_to_511,main,files/file09.tiff,208156,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file10.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file10.header.txt,equalized_fft_bins_1_to_511,main,files/file10.tiff,243422,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file11.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file11.header.txt,equalized_fft_bins_1_to_511,main,files/file11.tiff,254394,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file12.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file12.header.txt,equalized_fft_bins_1_to_511,main,files/file12.tiff,270714,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file13.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file13.header.txt,equalized_fft_bins_1_to_511,main,files/file13.tiff,364400,25
/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/ofdm_stage1_outputs/file14.fft.npy,/home/Sline/Work/VSCode/Projects/AudioModem/Week2_Challenge/extracted_headers/file14.header.txt,equalized_fft_bins_1_to_511,main,files/file14.wav,606364,24
