series,run,metrics_path,input,distance_dm,fft_size,cp,training_symbols,tail_training_enabled,channel_training_symbols_used,selected_sfo_ppm,chirp_sfo_ppm,front_chirp_score,tail_chirp_score,sync_mode,payload_symbols_guess,header_ok,file_crc_ok,file_match,ber_header_vote_ber,ber_payload_ber,ber_overall_useful_ber,ber_payload_byte_error_rate,ber_header_vote_bit_errors,ber_payload_bit_errors,ber_payload_bits,error
n1_3_test_n,rec_n4096_5dm_1,runs/n1_3_test_n/rec_n4096_5dm_1/metrics.json,data/n1_3_test_n/rec_n4096_5dm_1.wav,5,4096,2048,8,,,-8.342231713828083,-8.342231713828083,0.46820644210624524,0.41778590286833195,pair_training_joint,37,True,False,False,0.0,0.01959853090172239,0.019285892323030907,0.11499493414387031,0,619,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_5dm_1,runs/n1_3_test_n/rec_n8192_5dm_1/metrics.json,data/n1_3_test_n/rec_n8192_5dm_1.wav,5,8192,2048,8,,,-10.5,-202.6772247360483,0.34108877276699456,0.033644092620932375,pair_training_joint,1,True,False,False,0.0,0.01320288753799392,0.012992273180458624,0.06914893617021277,0,417,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_5dm_2,runs/n1_3_test_n/rec_n8192_5dm_2/metrics.json,data/n1_3_test_n/rec_n8192_5dm_3.wav,5,8192,2048,8,,,-12.905367231638419,-17.65536723163842,0.4207909956322155,0.3772360498553869,pair_training_joint,19,True,False,False,0.0,0.07085866261398176,0.0697283150548355,0.24468085106382978,0,2238,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_5dm_3,runs/n1_3_test_n/rec_n8192_5dm_3/metrics.json,data/n1_3_test_n/rec_n8192_5dm_3.wav,5,8192,2048,8,,,-12.905367231638419,-17.65536723163842,0.4207909956322155,0.3772360498553869,pair_training_joint,19,True,False,False,0.0,0.07085866261398176,0.0697283150548355,0.24468085106382978,0,2238,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n4096_10dm_1,runs/n1_3_test_n/rec_n4096_10dm_1/metrics.json,data/n1_3_test_n/rec_n4096_10dm_1.wav,10,4096,2048,8,,,0.0,208.5557928457021,0.0008207850571956538,0.11750480029262511,pair_training_joint,37,True,False,False,0.0,0.3391274062816616,0.33371759720837485,0.8791793313069909,0,10711,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n4096_10dm_2,runs/n1_3_test_n/rec_n4096_10dm_2/metrics.json,data/n1_3_test_n/rec_n4096_10dm_2.wav,10,4096,2048,8,,,-9.592231713828083,-8.342231713828083,0.3910427639092875,0.27036223663658415,pair_training_joint,37,True,False,False,0.0,0.035302684903748736,0.034739531405782655,0.21757852077001014,0,1115,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_10dm_1,runs/n1_3_test_n/rec_n8192_10dm_1/metrics.json,data/n1_3_test_n/rec_n8192_10dm_1.wav,10,8192,2048,8,,,-10.749999999999998,-20.17756255044391,0.3548216264988046,0.36870340816274544,pair_training_joint,19,False,False,False,0.00390625,0.05151342451874367,0.050753988035892324,0.25861195542046606,2,1627,31584,ValueError: header CRC mismatch
n1_3_test_n,rec_n4096_15dm_1,runs/n1_3_test_n/rec_n4096_15dm_1/metrics.json,data/n1_3_test_n/rec_n4096_15dm_1.wav,15,4096,2048,8,,,-12.403719523046803,-13.903719523046805,0.2765429162793801,0.23334032700021892,pair_training_joint,37,True,False,False,0.0,0.08308004052684904,0.08175473579262213,0.4394630192502533,0,2624,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n4096_15dm_2,runs/n1_3_test_n/rec_n4096_15dm_2/metrics.json,data/n1_3_test_n/rec_n4096_15dm_2.wav,15,4096,2048,8,,,-9.842231713828083,-8.342231713828083,0.4487483224366348,0.29775698970030995,pair_training_joint,37,True,False,False,0.0,0.033592958459979734,0.03305707876370887,0.20415400202634246,0,1061,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_15dm_1,runs/n1_3_test_n/rec_n8192_15dm_1/metrics.json,data/n1_3_test_n/rec_n8192_15dm_1.wav,15,8192,2048,8,,,-8.088781275221955,-10.088781275221955,0.2891890275670448,0.30638927997725396,pair_training_joint,19,True,False,False,0.0,0.0541096757852077,0.053246510468594216,0.30015197568389057,0,1709,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n4096_20dm_1,runs/n1_3_test_n/rec_n4096_20dm_1/metrics.json,data/n1_3_test_n/rec_n4096_20dm_1.wav,20,4096,2048,8,,,-9.342231713828081,-8.342231713828083,0.26079448323942767,0.1635490732945568,pair_training_joint,37,True,False,False,0.0,0.04473784194528875,0.04402417746759721,0.2624113475177305,0,1413,31584,ValueError: file CRC mismatch
n1_3_test_n,rec_n8192_20dm_1,runs/n1_3_test_n/rec_n8192_20dm_1/metrics.json,data/n1_3_test_n/rec_n8192_20dm_1.wav,20,8192,2048,8,,,-9.25,60.53268765133172,0.15465206280521476,0.20106896013445597,pair_training_joint,19,False,False,False,0.005859375,0.07494300911854103,0.07384097706879363,0.38753799392097266,3,2367,31584,ValueError: header CRC mismatch
n1_4_trainging_symbols,rec_train6_5dm_1.wav,runs/n1_4_trainging_symbols/rec_train6_5dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_5dm_1.wav,5,4096,2048,6,,,-10.516491615994102,-11.516491615994104,0.4853294455433929,0.4763983168501529,pair_training_joint,37,True,False,False,0.0,0.08751266464032421,0.08611665004985045,0.3497973657548126,0,2764,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train6_5dm_2.wav,runs/n1_4_trainging_symbols/rec_train6_5dm_2.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_5dm_2.wav,5,4096,2048,6,,,-12.516491615994104,-11.516491615994104,0.47331164264395637,0.4715961817563535,pair_training_joint,37,True,False,False,0.0,0.03378292806484296,0.03324401794616152,0.1889564336372847,0,1067,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train8_5dm_1.wav,runs/n1_4_trainging_symbols/rec_train8_5dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_5dm_1.wav,5,4096,2048,8,,,-10.372975618437442,-11.122975618437444,0.42833562903503514,0.44235624437982146,pair_training_joint,37,True,False,False,0.0,0.015260891590678824,0.015017447657028914,0.09549138804457953,0,482,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train6_10dm_1.wav,runs/n1_4_trainging_symbols/rec_train6_10dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_10dm_1.wav,10,4096,2048,6,,,-11.266491615994102,-11.516491615994104,0.42636640543942994,0.418241016055161,pair_training_joint,37,True,False,False,0.0,0.04996200607902736,0.04916500498504486,0.2682370820668693,0,1578,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train6_10dm_2.wav,runs/n1_4_trainging_symbols/rec_train6_10dm_2.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_10dm_2.wav,10,4096,2048,6,,,-9.766491615994104,-11.516491615994104,0.41753372002490696,0.4035863205859805,pair_training_joint,37,True,False,False,0.0,0.050848530901722394,0.050037387836490525,0.2735562310030395,0,1606,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train8_10dm_1.wav,runs/n1_4_trainging_symbols/rec_train8_10dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_10dm_1.wav,10,4096,2048,8,,,-5.0,-11.122975618437444,0.3998723979638682,0.41099780353820975,pair_training_joint,37,True,False,False,0.0,0.18939969604863222,0.18637836490528414,0.6155015197568389,0,5982,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train8_10dm_2.wav,runs/n1_4_trainging_symbols/rec_train8_10dm_2.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_10dm_2.wav,10,4096,2048,8,,,-10.122975618437444,-11.122975618437444,0.3978635600426086,0.39612988937695937,pair_training_joint,37,True,False,False,0.0,0.032959726443768995,0.0324339481555334,0.19174265450861194,0,1041,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train6_15dm_1.wav,runs/n1_4_trainging_symbols/rec_train6_15dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_15dm_1.wav,15,4096,2048,6,,,-11.266491615994102,-11.516491615994104,0.4469470617540968,0.4421085904192098,pair_training_joint,37,True,False,False,0.0,0.033592958459979734,0.03305707876370887,0.2190982776089159,0,1061,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train8_15dm_1.wav,runs/n1_4_trainging_symbols/rec_train8_15dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_15dm_1.wav,15,4096,2048,8,,,-9.122975618437442,-11.122975618437444,0.44452507904931915,0.5289846576478306,pair_training_joint,37,True,False,False,0.0,0.05062689969604863,0.049819292123629115,0.3049645390070922,0,1599,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train6_20dm_1.wav,runs/n1_4_trainging_symbols/rec_train6_20dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_20dm_1.wav,20,4096,2048,6,,,-12.516491615994104,-11.516491615994104,0.3589466996719149,0.36134234999370013,pair_training_joint,37,True,False,False,0.0,0.03280141843971631,0.03227816550348953,0.21251266464032423,0,1036,31584,ValueError: file CRC mismatch
n1_4_trainging_symbols,rec_train8_20dm_1.wav,runs/n1_4_trainging_symbols/rec_train8_20dm_1.wav/metrics.json,data/n1_4_trainging_symbols/rec_train6_20dm_1.wav,20,4096,2048,8,,,-10.372975618437442,-11.122975618437444,0.3927157128320207,0.4021579495979397,pair_training_joint,37,True,False,False,0.0,0.042901469098277606,0.04221709870388834,0.2624113475177305,0,1355,31584,ValueError: file CRC mismatch
