series,run,ber-overall-useful
n1_3_test_n,rec_n4096_5dm,1.93%
n1_3_test_n,rec_n8192_5dm,1.30%
n1_3_test_n,rec_n4096_10dm,3.47%
n1_3_test_n,rec_n8192_10dm,5.08%
n1_3_test_n,rec_n4096_15dm,3.31%
n1_3_test_n,rec_n8192_15dm,5.32%
n1_3_test_n,rec_n4096_20dm,4.40%
n1_3_test_n,rec_n8192_20dm,7.38%
n1_4_trainging_symbols,rec_train6_5dm,3.32%
n1_4_trainging_symbols,rec_train8_5dm,1.50%
n1_4_trainging_symbols,rec_train12_5dm,1.54%
n1_4_trainging_symbols,rec_train6_10dm,4.92%
n1_4_trainging_symbols,rec_train8_10dm,3.24%
n1_4_trainging_symbols,rec_train12_10dm,2.65%
n1_4_trainging_symbols,rec_train6_15dm,3.31%
n1_4_trainging_symbols,rec_train8_15dm,4.98%
n1_4_trainging_symbols,rec_train12_15dm,4.22%
n1_4_trainging_symbols,rec_train6_20dm,3.23%
n1_4_trainging_symbols,rec_train8_20dm,4.22%
n1_4_trainging_symbols,rec_train12_20dm,5.44%
n1_5_tail_training,rec_c12_5dm,1.54%
n1_5_tail_training,rec_c6_5dm,6.09%
n1_5_tail_training,rec_o12_5dm,1.93%
n1_5_tail_training,rec_c12_10dm,2.65%
n1_5_tail_training,rec_c6_10dm,4.02%
n1_5_tail_training,rec_o12_10dm,2.29%
n1_5_tail_training,rec_c12_15dm,4.22%
n1_5_tail_training,rec_c6_15dm,4.18%
n1_5_tail_training,rec_o12_15dm,3.18%
n1_5_tail_training,rec_c12_20dm,5.44%
n1_5_tail_training,rec_c6_20dm,6.67%
n1_5_tail_training,rec_o12_20dm,4.01%
