series,run,beroverall
runs/n2_3_ldpc_z27_rate,rec_r1_2_10dm_1,0.93%
runs/n2_sync_fix,r1_2_10dm_1,0.93%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_1,0.05%
runs/n2_sync_fix,r2_3_10dm_1,0.05%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_2,49.67%
runs/n2_sync_fix,r2_3_10dm_2,0.04%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_3,49.78%
runs/n2_sync_fix,r2_3_10dm_3,10.27%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_4,49.42%
runs/n2_sync_fix,r2_3_10dm_4,9.02%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_5,3.46%
runs/n2_sync_fix,r2_3_10dm_5,3.46%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_6,48.78%
runs/n2_sync_fix,r2_3_10dm_6,48.65%
runs/n2_3_ldpc_z27_rate,rec_r2_3_10dm_7,5.09%
runs/n2_sync_fix,r2_3_10dm_7,5.09%
runs/n2_3_ldpc_z27_rate,rec_r3_4_10dm_1,51.68%
runs/n2_sync_fix,r3_4_10dm_1,2.56%
runs/n2_3_ldpc_z27_rate,rec_r3_4_10dm_2,3.61%
runs/n2_sync_fix,r3_4_10dm_2,3.61%
runs/n2_3_ldpc_z27_rate,rec_r3_4_10dm_3,7.87%
runs/n2_sync_fix,r3_4_10dm_3,7.87%
runs/n2_3_ldpc_z27_rate,rec_r3_4_10dm_4,50.41%
runs/n2_sync_fix,r3_4_10dm_4,3.41%
