series,run,ber_overall,ber_ldpc_off
runs/n2_7_change_data,rec_l1_4096_10dm_1,4.13%,6.81%
runs/n2_7_change_data,rec_l1_4096_10dm_2,4.52%,6.76%
runs/n2_7_change_data,rec_l1_4096_10dm_3,53.51%,54.78%
runs/n2_7_change_data,rec_l1_8192_10dm_1,1.37%,3.97%
runs/n2_7_change_data,rec_l1_8192_10dm_2,0.39%,3.14%
runs/n2_7_change_data,rec_l1_8192_10dm_3,0.94%,3.32%
runs/n2_7_change_data,rec_l2_4096_10dm_1,11.96%,9.43%
runs/n2_7_change_data,rec_l2_4096_10dm_2,0.91%,3.02%
runs/n2_7_change_data,rec_l2_4096_10dm_3,3.65%,6.15%
runs/n2_7_change_data,rec_l2_8192_10dm_1,50.11%,50.00%
runs/n2_7_change_data,rec_l2_8192_10dm_2,49.68%,49.89%
runs/n2_7_change_data,rec_l2_8192_10dm_3,50.18%,50.16%
runs/n2_7_change_data,rec_l3_4096_10dm_1,3.19%,5.09%
runs/n2_7_change_data,rec_l3_4096_10dm_2,2.08%,3.35%
runs/n2_7_change_data,rec_l3_4096_10dm_3,2.84%,4.28%
runs/n2_7_change_data,rec_l3_8192_10dm_1,1.48%,3.86%
runs/n2_7_change_data,rec_l3_8192_10dm_2,0.00%,3.91%
runs/n2_7_change_data,rec_l3_8192_10dm_3,0.32%,2.73%
runs/n2_7_change_data,rec_l1_mean,10.81%,13.13%
runs/n2_7_change_data,rec_l2_mean,27.75%,28.11%
runs/n2_7_change_data,rec_l3_mean,1.65%,3.87%
