series,llr_scale,beroverall_percent
1-2-1,0.4,2.010000
1-2-1,0.6,1.910000
1-2-1,0.8,1.430000
1-2-1,1.0,0.040000
1-2-1,1.2,0.050000
1-2-1,1.4,0.060000
1-2-1,1.6,0.130000
1-2-1,1.8,0.140000
1-2-1,2.0,0.020000
1-2-1,2.2,0.060000
1-2-1,2.4,0.040000
1-2-1,2.6,0.150000
1-2-1,2.8,0.020000
1-2-1,3.0,0.040000
1-2-1,3.2,0.020000
1-2-1,3.4,0.050000
1-2-1,3.6,0.070000
1-2-1,3.8,0.210000
1-2-1,4.0,0.050000
2-3-1,0.4,1.240000
2-3-1,0.6,1.240000
2-3-1,0.8,1.220000
2-3-1,1.0,1.190000
2-3-1,1.2,1.100000
2-3-1,1.4,0.170000
2-3-1,1.6,0.150000
2-3-1,1.8,0.130000
2-3-1,2.0,0.130000
2-3-1,2.2,0.050000
2-3-1,2.4,0.350000
2-3-1,2.6,0.080000
2-3-1,2.8,0.270000
2-3-1,3.0,0.290000
2-3-1,3.2,0.380000
2-3-1,3.4,0.580000
2-3-1,3.6,0.500000
2-3-1,3.8,0.410000
2-3-1,4.0,0.580000
2-3-2,0.4,1.310000
2-3-2,0.6,1.310000
2-3-2,0.8,1.300000
2-3-2,1.0,1.260000
2-3-2,1.2,1.160000
2-3-2,1.4,0.290000
2-3-2,1.6,0.100000
2-3-2,1.8,0.060000
2-3-2,2.0,0.170000
2-3-2,2.2,0.280000
2-3-2,2.4,0.140000
2-3-2,2.6,0.100000
2-3-2,2.8,0.220000
2-3-2,3.0,0.240000
2-3-2,3.2,0.200000
2-3-2,3.4,0.300000
2-3-2,3.6,0.100000
2-3-2,3.8,0.260000
2-3-2,4.0,0.220000
3-4-1,0.4,3.810000
3-4-1,0.6,3.810000
3-4-1,0.8,3.810000
3-4-1,1.0,3.810000
3-4-1,1.2,3.790000
3-4-1,1.4,3.720000
3-4-1,1.6,3.540000
3-4-1,1.8,3.320000
3-4-1,2.0,2.950000
3-4-1,2.2,2.570000
3-4-1,2.4,2.280000
3-4-1,2.6,2.250000
3-4-1,2.8,2.240000
3-4-1,3.0,2.320000
3-4-1,3.2,2.470000
3-4-1,3.4,2.550000
3-4-1,3.6,2.660000
3-4-1,3.8,2.700000
3-4-1,4.0,2.750000
3-4-2,0.4,0.830000
3-4-2,0.6,0.830000
3-4-2,0.8,0.830000
3-4-2,1.0,0.830000
3-4-2,1.2,0.820000
3-4-2,1.4,0.780000
3-4-2,1.6,0.590000
3-4-2,1.8,0.100000
3-4-2,2.0,0.210000
3-4-2,2.2,0.140000
3-4-2,2.4,0.520000
3-4-2,2.6,0.300000
3-4-2,2.8,0.340000
3-4-2,3.0,0.640000
3-4-2,3.2,0.130000
3-4-2,3.4,0.170000
3-4-2,3.6,0.310000
3-4-2,3.8,0.300000
3-4-2,4.0,0.330000
3-4-3,0.4,1.700000
3-4-3,0.6,1.700000
3-4-3,0.8,1.700000
3-4-3,1.0,1.690000
3-4-3,1.2,1.650000
3-4-3,1.4,1.620000
3-4-3,1.6,1.470000
3-4-3,1.8,0.860000
3-4-3,2.0,0.230000
3-4-3,2.2,0.130000
3-4-3,2.4,0.120000
3-4-3,2.6,0.200000
3-4-3,2.8,0.210000
3-4-3,3.0,0.220000
3-4-3,3.2,0.310000
3-4-3,3.4,0.230000
3-4-3,3.6,0.220000
3-4-3,3.8,0.370000
3-4-3,4.0,0.140000
