symbol,iters,converged,median_abs_llr
0,7,True,2.948712291552587
1,10,True,2.990228106688731
2,7,True,3.0733822421433215
3,7,True,3.0629446458826424
4,7,True,3.1604295952580177
5,10,True,3.2978958959941123
6,10,True,3.328963479426616
7,10,True,3.3762155448929905
8,10,True,3.4417039341159015
9,11,True,3.4357521763977257
10,9,True,3.3470417573209725
11,9,True,3.265180130063608
12,13,True,3.1631871422236246
13,14,True,3.025517220185254
14,24,True,2.930683073006101
15,34,True,2.93153396241835
16,33,True,2.8605275669774244
17,38,True,2.850057496003508
18,31,True,2.761662975295228
19,200,False,2.8763020102894536
20,61,True,2.7858561321951942
21,200,False,2.9026701323498143
22,63,True,2.8153234361674224
23,47,True,3.014338348166482
24,57,True,2.88561025345712
25,200,False,3.1077635311153093
26,200,False,3.1704217956860328
27,200,False,3.310693837282581
28,200,False,3.3903957690690794
29,200,False,3.4640255206737223
30,200,False,3.4249965000387115
31,200,False,3.339969191090365
32,48,True,3.242779237601602
33,200,False,3.1628139505040087
34,30,True,3.1393554617870736
35,200,False,3.101844554422022
36,30,True,3.04152220271129
37,33,True,2.930223446713078
38,33,True,2.972843067888556
39,47,True,2.7760740257081604
40,40,True,2.9525811253103633
41,70,True,2.9590866627505537
42,200,False,3.003216856933425
43,34,True,2.80902339079691
44,37,True,2.8540581844346984
45,54,True,2.9199088381016933
46,41,True,3.045573840975166
47,200,False,3.235445725440319
48,32,True,3.146198840357461
49,200,False,3.4257966191630427
50,47,True,3.21325031268195
51,200,False,3.338958556978949
52,32,True,3.1429966596162715
53,33,True,3.060022777392713
54,200,False,3.175378460128602
55,200,False,3.105986873424416
56,200,False,3.031645319421596
57,200,False,2.9926448734364994
58,200,False,2.957721342483178
59,33,True,2.7418699673417484
60,200,False,2.880989362273561
61,200,False,2.9808234582246413
62,200,False,2.917437080857252
63,200,False,3.0191366657158203
64,200,False,2.992646706660812
65,200,False,3.047930377497546
66,200,False,3.153136245765269
67,200,False,3.240476200355338
68,200,False,3.2849580097313904
69,200,False,3.407066979564365
70,200,False,3.5026644031348466
71,200,False,3.4600670962369064
72,200,False,3.3617453511774515
73,200,False,3.2805020674059504
74,200,False,3.264319868585595
75,200,False,3.178876626646578
76,200,False,3.094749564639712
77,200,False,3.026360309192153
78,200,False,2.973309550894469
79,200,False,2.9930676457626832
80,200,False,2.93127491070637
81,35,True,2.8617289811424618
82,94,True,2.8595867127877246
83,43,True,2.9597548135454677
84,43,True,2.8364264098536545
85,22,True,3.0284420336626905
86,39,True,3.0647204154698398
87,46,True,3.1255083397631327
88,55,True,3.214873224863051
89,31,True,3.074396799240902
90,32,True,3.321489138731858
91,38,True,3.4275581426014226
92,37,True,3.291257857515709
93,23,True,3.364655588233777
94,33,True,3.2693370928588315
95,31,True,3.296204534691853
96,33,True,3.1575277804030453
97,27,True,3.0797286166230666
98,26,True,3.0150572980839385
99,27,True,3.074919783774593
100,29,True,3.04669592210982
101,41,True,3.025980259306112
102,35,True,3.027286570201234
103,33,True,2.9387323693596015
104,35,True,2.94241528264378
105,34,True,3.0380425272043574
106,29,True,3.019166757379082
107,21,True,3.1420181751938907
108,46,True,3.221517493520106
109,17,True,3.283020621288643
110,55,True,3.3291125758390034
111,28,True,3.132919805021843
112,56,True,3.4729971476850925
113,26,True,3.547553947556965
114,26,True,3.178226309237977
115,36,True,3.3436766159515825
116,27,True,3.2846813977132063
117,65,True,3.1820517892028577
118,30,True,2.8652767010260707
119,30,True,3.0035826640087935
120,27,True,3.0261829925803365
121,26,True,2.931483289907701
122,16,True,2.9265315495673168
123,26,True,2.916077232816337
124,24,True,2.93113699153637
125,14,True,2.8679667477257844
126,16,True,2.960814333294161
127,32,True,2.9692991880767834
128,13,True,3.074128807867737
129,15,True,3.092367893781871
130,13,True,3.172662548749056
131,14,True,3.256250022713528
132,13,True,3.360173967385676
133,14,True,3.4082115845863368
134,12,True,3.3691644825969824
135,12,True,3.2525071699265387
136,13,True,3.0959125760906705
137,12,True,3.129230269531472
138,14,True,3.020884528267555
139,10,True,2.960909382930133
140,11,True,2.8719222808645513
141,11,True,2.787275423906669
142,13,True,2.787581707633956
143,10,True,2.75517992692032
144,11,True,2.739578103952817
145,17,True,2.7051524148271184
146,14,True,2.7366454428731117
147,10,True,2.772947555238706
148,10,True,2.8118751691442307
149,8,True,2.8470087058895412
150,7,True,2.933496479190941
151,8,True,3.043599015123801
152,6,True,3.186799232042757
153,6,True,3.1921273927049096
154,6,True,3.277376667696527
