rank,run,bit_error_rate,bit_errors,byte_errors,file_sync_score,probe_sync_score,payload_delta,peak,rms,clip,first16_hex,error
1,18,0.047271286231884056,1670,1217,0.27293781189681426,0.06590852796833409,-9,0.9114990234375,0.13387433952945357,0,657870322e747876003574203211cc68,"ValueError: invalid literal for int() with base 10: b'5t 2\x11\xcchns!is a pesv \xc6iLU. TbIs is a qestb\xe6ile. This is a t\xe5\xf3t fi\xece. ThIs0ds l tesd file> \ntbis is a test F\xe9l%. TlIs i3 a test falm> Thi\xd3 is q""tds\xb4 vHld. Dhis iw c TeSv"
2,17,0.04928102355072464,1741,1259,0.26479808849607805,0.06827284461863431,7,0.945526123046875,0.13813857950089065,0,65f870322e7478740035763032115468,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf8 in position 1: invalid start byte
3,19,0.051432291666666664,1817,1307,0.2710173517302945,0.05839382581648528,-8,0.918243408203125,0.1356613225613128,0,657870722e7478f4003574203210c568,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf4 in position 7: unexpected end of data
4,6,0.057263360507246376,2023,1434,0.37633986490071597,0.2475246397153684,-27,1.0,0.11904864778394367,4282,657870322e7268740034321033044468,ValueError: invalid literal for int() with base 10: b'42\x103\x04Dhis ir a tas|-fide. Thiq icHa tis| file. This is A test falm/ 4xis Ys'
5,5,0.061622509057971016,2177,1487,0.3786387149313199,0.06725057767729281,-16,0.999969482421875,0.15705046095798159,3770,655870323e7841540234209033005468,UnicodeDecodeError: 'utf-8' codec can't decode byte 0x90 in position 11: invalid start byte
6,9,0.06170742753623189,2180,1504,0.37938069953524356,0.06358194282516723,-17,0.497650146484375,0.07277861333740532,0,657870322e7a2155003420b033044468,"ValueError: invalid literal for int() with base 10: b'4 \xb03\x04Dhis is a lasu &ide. Thiq is""\xe9!ve\xf3t0file. Thi\x13eis$\xe1 tesd""fale/ this Qs'"
7,10,0.06524569746376811,2305,1538,0.37131282400816384,0.06483929723114012,-2,0.5050048828125,0.07419583033779566,0,657870322e7378302030381032024468,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xb3 in position 17: invalid start byte
8,11,0.06578351449275362,2324,1564,0.37815662358875723,0.06247671671123935,-13,0.542633056640625,0.08039880174559308,0,657870322e7e01752234311036004468,"ValueError: invalid literal for int() with base 10: b'Dhis is a(lest.\xe6ade. This is a t|st fame. Thispis Y tesd""fale/ u\xe8)s ms`a tist filen \nT\xacis i30a test\xa5\xaeild. This is a test eyle.!ThiS i{4e%w\xf5e\xb4$bmle\xae ThiS a{ a8tect$gile. *Dxi"
9,7,0.06719882246376811,2374,1598,0.37345533383263035,0.0613055005896812,-32,0.630523681640625,0.09485685114084166,0,657870323e766a74003428b033004468,ValueError: invalid literal for int() with base 10: b'4(\xb03'
10,8,0.06875566123188406,2429,1553,0.3701204227014639,0.06301304321483285,-16,0.659332275390625,0.09524418997403021,0,655870322e7e21550234311032004468,"ValueError: invalid literal for int() with base 10: b'Dhis ir a t%su*fihe. This is i!vg\xf3t,fide. Thisaiq h test file/ t,is \xf9s A test vileN`\nT,is`i30a tesu\xa0\xe6ild& T\xa8is is ! udrt /9ld.!ThiS is q tee\xd4!fild\xee This Ys a\x18\xf4est$g\xe9le"
11,3,0.0736809329710145,2603,1703,0.38457936318643043,0.08296361970564813,-3,1.0,0.162714862001846,4651,653870322e76783400742f9032004468,ValueError: invalid literal for int() with base 10: b't/\x902'
12,4,0.07467164855072464,2638,1815,0.37468174595864856,0.08058185248708946,13,0.7774658203125,0.1251291803074913,0,657870322e7071750034311032045468,ValueError: invalid literal for int() with base 10: b'41\x102\x04ThiS ir a |es|&fide. Thiq ir a tm\xf3t file. This&iq h tecd file. P(iw osaa tmst vil\xad\xfe'
13,1,0.0934669384057971,3302,2157,0.33283346914648554,0.23041215829939404,-27,1.0,0.20567130384364565,117,653870322e7a7a70003430887a11566c,"ValueError: invalid literal for int() with base 10: b'40\x88z\x11Vl)w!\xe9s adpd3t)F\xf9l%,\xa0Liis i[ a tg\xd3T fmm}. Thhc'"
14,2,0.1012794384057971,3578,2308,0.3065357692211874,0.06165692952668349,28,1.0,0.291885078218056,7080,657870b22e727a74aa34309072145664,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xb2 in position 3: invalid start byte
15,16,0.23205389492753623,8198,3397,0.26164147256752274,0.048153503114737733,27,1.0,0.6884843903184986,338507,657870122a7424375df733e03307a521,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf7 in position 9: invalid start byte
16,12,0.4965466485507246,17542,4399,0.020984964869372798,0.03556090660942217,-5,0.999969482421875,0.13361725514495842,6685,f7a99f9d3dfbd834be8fa6b89cd92eff,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf7 in position 0: invalid start byte
17,15,0.497169384057971,17564,4395,0.018497116296395312,0.0019539980941916417,40,0.864654541015625,0.027030741096125754,0,d2a7a970162ea49f86c488eaa1ddcae1,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xa9 in position 2: invalid start byte
18,13,0.497367527173913,17571,4400,0.021447660571656386,0.03562375405294735,-9,0.561737060546875,0.0804128146008023,0,f7a9bf9d3ddfd874fea7e4b8bcdd2efd,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf7 in position 0: invalid start byte
19,14,0.4973958333333333,17572,4396,0.022049927977231973,0.0350946685479555,-35,0.587738037109375,0.08053783409895136,0,f721bf9d1151d8b7c78fe5b0b0d52eff,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf7 in position 0: invalid start byte
