bin,freq_hz,errors,symbols,ber
129,6046.875,15,2511,0.005973715651135006
130,6093.75,19,2511,0.007566706491437674
131,6140.625,14,2511,0.005575467941059339
132,6187.5,16,2511,0.006371963361210673
133,6234.375,9,2511,0.0035842293906810036
134,6281.25,14,2511,0.005575467941059339
135,6328.125,24,2511,0.009557945041816009
137,6421.875,12,2511,0.0047789725209080045
138,6468.75,14,2511,0.005575467941059339
139,6515.625,24,2511,0.009557945041816009
140,6562.5,25,2511,0.009956192751891677
141,6609.375,171,2511,0.06810035842293907
142,6656.25,1326,2511,0.5280764635603346
143,6703.125,642,2511,0.25567502986857826
145,6796.875,191,2511,0.0760653126244524
146,6843.75,293,2511,0.11668657905217045
147,6890.625,899,2511,0.35802469135802467
148,6937.5,286,2511,0.11389884508164078
149,6984.375,235,2511,0.09358821186778175
150,7031.25,15,2511,0.005973715651135006
151,7078.125,18,2511,0.007168458781362007
153,7171.875,16,2511,0.006371963361210673
154,7218.75,18,2511,0.007168458781362007
155,7265.625,21,2511,0.008363201911589008
156,7312.5,16,2511,0.006371963361210673
157,7359.375,157,2511,0.06252489048187973
158,7406.25,209,2511,0.08323377140581442
159,7453.125,20,2511,0.00796495420151334
165,7734.375,16,2511,0.006371963361210673
166,7781.25,65,2511,0.025886101154918358
167,7828.125,28,2511,0.011150935882118677
168,7875.0,18,2511,0.007168458781362007
173,8109.375,53,2511,0.021107128634010354
174,8156.25,96,2511,0.038231780167264036
175,8203.125,205,2511,0.08164078056551174
176,8250.0,74,2511,0.029470330545599364
177,8296.875,28,2511,0.011150935882118677
178,8343.75,29,2511,0.011549183592194345
179,8390.625,12,2511,0.0047789725209080045
181,8484.375,14,2511,0.005575467941059339
182,8531.25,9,2511,0.0035842293906810036
183,8578.125,15,2511,0.005973715651135006
184,8625.0,15,2511,0.005973715651135006
185,8671.875,12,2511,0.0047789725209080045
186,8718.75,21,2511,0.008363201911589008
187,8765.625,18,2511,0.007168458781362007
189,8859.375,13,2511,0.005177220230983672
190,8906.25,18,2511,0.007168458781362007
191,8953.125,18,2511,0.007168458781362007
192,9000.0,22,2511,0.008761449621664676
193,9046.875,16,2511,0.006371963361210673
194,9093.75,22,2511,0.008761449621664676
195,9140.625,14,2511,0.005575467941059339
197,9234.375,19,2511,0.007566706491437674
198,9281.25,12,2511,0.0047789725209080045
199,9328.125,16,2511,0.006371963361210673
200,9375.0,14,2511,0.005575467941059339
201,9421.875,12,2511,0.0047789725209080045
202,9468.75,22,2511,0.008761449621664676
203,9515.625,16,2511,0.006371963361210673
205,9609.375,18,2511,0.007168458781362007
206,9656.25,17,2511,0.0067702110712863405
207,9703.125,26,2511,0.010354440461967344
208,9750.0,18,2511,0.007168458781362007
209,9796.875,13,2511,0.005177220230983672
210,9843.75,18,2511,0.007168458781362007
211,9890.625,16,2511,0.006371963361210673
213,9984.375,10,2511,0.00398247710075667
214,10031.25,18,2511,0.007168458781362007
215,10078.125,16,2511,0.006371963361210673
216,10125.0,16,2511,0.006371963361210673
217,10171.875,18,2511,0.007168458781362007
218,10218.75,13,2511,0.005177220230983672
219,10265.625,18,2511,0.007168458781362007
221,10359.375,24,2511,0.009557945041816009
222,10406.25,25,2511,0.009956192751891677
223,10453.125,13,2511,0.005177220230983672
224,10500.0,18,2511,0.007168458781362007
225,10546.875,9,2511,0.0035842293906810036
226,10593.75,15,2511,0.005973715651135006
227,10640.625,21,2511,0.008363201911589008
229,10734.375,18,2511,0.007168458781362007
230,10781.25,17,2511,0.0067702110712863405
231,10828.125,12,2511,0.0047789725209080045
232,10875.0,18,2511,0.007168458781362007
233,10921.875,135,2511,0.053763440860215055
234,10968.75,46,2511,0.018319394663480686
235,11015.625,22,2511,0.008761449621664676
237,11109.375,177,2511,0.07048984468339307
238,11156.25,61,2511,0.02429311031461569
239,11203.125,527,2511,0.20987654320987653
316,14812.5,38,2511,0.015133412982875348
317,14859.375,36,2511,0.014336917562724014
318,14906.25,24,2511,0.009557945041816009
319,14953.125,20,2511,0.00796495420151334
320,15000.0,17,2511,0.0067702110712863405
321,15046.875,14,2511,0.005575467941059339
322,15093.75,14,2511,0.005575467941059339
324,15187.5,12,2511,0.0047789725209080045
325,15234.375,22,2511,0.008761449621664676
326,15281.25,16,2511,0.006371963361210673
327,15328.125,14,2511,0.005575467941059339
328,15375.0,19,2511,0.007566706491437674
329,15421.875,23,2511,0.009159697331740343
330,15468.75,17,2511,0.0067702110712863405
332,15562.5,14,2511,0.005575467941059339
333,15609.375,26,2511,0.010354440461967344
334,15656.25,16,2511,0.006371963361210673
335,15703.125,20,2511,0.00796495420151334
336,15750.0,22,2511,0.008761449621664676
337,15796.875,15,2511,0.005973715651135006
338,15843.75,17,2511,0.0067702110712863405
340,15937.5,19,2511,0.007566706491437674
341,15984.375,19,2511,0.007566706491437674
342,16031.25,22,2511,0.008761449621664676
343,16078.125,22,2511,0.008761449621664676
344,16125.0,18,2511,0.007168458781362007
345,16171.875,24,2511,0.009557945041816009
346,16218.75,15,2511,0.005973715651135006
348,16312.5,11,2511,0.004380724810832338
349,16359.375,13,2511,0.005177220230983672
350,16406.25,567,2511,0.22580645161290322
351,16453.125,968,2511,0.3855037833532457
352,16500.0,108,2511,0.043010752688172046
353,16546.875,1083,2511,0.43130227001194743
354,16593.75,145,2511,0.05774591796097173
356,16687.5,939,2511,0.3739545997610514
